Date/Time,Badge Number,Reading
2022-05-09 08:00:00,W-51120786,166822.72
2022-05-09 08:00:00,W-51126731,529559.78
2022-05-09 08:00:00,W-51047831,211307.03
2022-05-09 08:00:00,W-51047068,42064.06
2022-05-09 08:00:00,W-51041865,141348.1
2022-05-09 08:00:00,W-51118726,308415.3
2022-05-09 08:00:00,W-51128539,110328.0
2022-05-09 08:00:00,W-51041413,198728.16
2022-05-09 08:00:00,W-51043761,226020.27
2022-05-09 08:00:00,W-51038707,54411.12
2022-05-09 08:00:00,W-51035287,158732.33
2022-05-09 08:00:00,W-51039744,89473.53
2022-05-09 08:00:00,W-51065638,155592.36
2022-05-09 08:00:00,W-51122944,262029.3
2022-05-09 08:00:00,W-51122265,501135.12
2022-05-09 08:00:00,W-51069645,114031.42
2022-05-09 08:00:00,W-51068383,47320.78
2022-05-09 08:00:00,W-51050832,327354.43
2022-05-09 08:00:00,W-51128441,172310.14
2022-05-09 08:00:00,W-51063877,9999999.97
2022-05-09 08:00:00,W-51036722,107581.24
2022-05-09 08:00:00,W-51065169,292540.33
2022-05-09 08:00:00,W-51038083,148178.38
2022-05-09 08:00:00,W-51062755,461350.29
2022-05-09 08:00:00,W-51050070,153988.47
2022-05-09 08:00:00,W-84180540,143486.08
2022-05-09 08:00:00,W-51044830,100154.63
2022-05-09 08:00:00,W-51034413,27006.75
2022-05-09 08:00:00,W-51060618,245325.64
2022-05-09 08:00:00,W-51048021,204644.84
2022-05-09 08:00:00,W-51102791,555988.3
2022-05-09 08:00:00,W-51065319,109728.53
2022-05-09 08:00:00,W-51067995,82353.15
2022-05-09 08:00:00,W-84183083,183752.73
2022-05-09 08:00:00,W-51124031,182307.63
2022-05-09 08:00:00,W-51127798,181024.79
2022-05-09 08:00:00,W-51119944,199060.9
2022-05-09 08:00:00,W-51089713,275902.77
2022-05-09 08:00:00,W-84183219,110203.21
2022-05-09 08:00:00,W-51036398,75607.0
2022-05-09 08:00:00,W-51065204,352849.11
2022-05-09 08:00:00,W-51047095,224395.13
2022-05-09 08:00:00,W-51039493,406139.21
2022-05-09 08:00:00,W-51048285,663699.48
2022-05-09 08:00:00,W-51111513,59170.38
2022-05-09 08:00:00,W-51075845,91593.58
2022-05-09 08:00:00,W-51071190,241117.48
2022-05-09 08:00:00,W-51077796,126399.74
2022-05-09 08:00:00,W-51072463,172695.97
2022-05-09 08:00:00,W-51071453,7096.65
2022-05-09 08:00:00,W-51073969,136354.61
2022-05-09 08:00:00,W-51118571,71579.47
2022-05-09 08:00:00,W-51118201,420784.09
2022-05-09 08:00:00,W-51116508,135592.34
2022-05-09 08:00:00,W-51105229,279520.4
2022-05-09 08:00:00,W-51103259,174498.73
2022-05-09 08:00:00,W-51109508,178716.42
2022-05-09 08:00:00,W-51128659,47344.54
2022-05-09 08:00:00,W-51109459,118224.49
2022-05-09 08:00:00,W-51134909,222556.82
2022-05-09 08:00:00,W-51126055,263181.76
2022-05-09 08:00:00,W-51132943,73929.07
2022-05-09 08:00:00,W-51081131,107726.28
2022-05-09 08:00:00,W-51081169,174155.82
2022-05-09 08:00:00,W-51081453,103966.23
2022-05-09 08:00:00,W-51084800,76098.44
2022-05-09 08:00:00,W-51073392,103052.86
2022-05-09 08:00:00,W-51084772,75055.82
2022-05-09 08:00:00,W-51109549,264502.99
2022-05-09 08:00:00,W-51078104,126996.7
2022-05-09 08:00:00,W-51101847,353933.63
2022-05-09 08:00:00,W-51134833,336308.15
2022-05-09 08:00:00,W-51077837,115586.54
2022-05-09 08:00:00,W-51078671,342653.46
2022-05-09 08:00:00,W-51078510,74330.35
2022-05-09 08:00:00,W-51081546,72041.44
2022-05-09 08:00:00,W-51081582,119330.68
2022-05-09 08:00:00,W-51108665,68841.06
2022-05-09 08:00:00,W-51104526,48543.95
2022-05-09 08:00:00,W-51084472,51842.02
2022-05-09 08:00:00,W-51078555,14613.1
2022-05-09 08:00:00,W-51084792,115662.75
2022-05-09 08:00:00,W-51113620,37873.56
2022-05-09 08:00:00,W-51108889,177437.45
2022-05-09 08:00:00,W-51116720,71592.31
2022-05-09 08:00:00,W-51107585,140792.16
2022-05-09 08:00:00,W-51134297,121714.34
2022-05-09 08:00:00,W-51132902,151763.38
2022-05-09 08:00:00,W-51135024,21022.86
2022-05-09 08:00:00,W-51111418,153798.54
2022-05-09 08:00:00,W-51106491,141255.62
2022-05-09 08:00:00,W-51108913,341076.84
2022-05-09 08:00:00,W-51114329,94914.72
2022-05-09 08:00:00,W-51110666,139071.43
2022-05-09 08:00:00,W-51118380,256953.51
2022-05-09 08:00:00,W-51066255,163086.05
2022-05-09 08:00:00,W-51066503,161494.43
2022-05-09 08:00:00,W-51123048,85399.9
2022-05-09 08:00:00,W-51119943,186014.8
2022-05-09 08:00:00,W-51038662,557103.07
2022-05-09 08:00:00,W-51089137,148675.16
2022-05-09 08:00:00,W-51121371,176503.94
2022-05-09 08:00:00,W-51055856,2593352.0
2022-05-09 08:00:00,W-51062500,76516.84
2022-05-09 08:00:00,W-84182056,63557.85
2022-05-09 08:00:00,W-51103584,224302.07
2022-05-09 08:00:00,W-51034199,168407.37
2022-05-09 08:00:00,W-51088707,152843.11
2022-05-09 08:00:00,W-51127880,778935.66
2022-05-09 08:00:00,W-51040836,236277.52
2022-05-09 08:00:00,W-51040843,166478.52
2022-05-09 08:00:00,W-51039041,259582.56
2022-05-09 08:00:00,W-51042341,316321.52
2022-05-09 08:00:00,W-51039573,151041.56
2022-05-09 08:00:00,W-51040748,69493.71
2022-05-09 08:00:00,W-51038777,131606.12
2022-05-09 08:00:00,W-51038787,182161.86
2022-05-09 08:00:00,W-51056644,52351.49
2022-05-09 08:00:00,W-84181243,209760.32
2022-05-09 08:00:00,W-51126768,80214.36
2022-05-09 08:00:00,W-51067522,335205.14
2022-05-09 08:00:00,W-51040507,277688.83
2022-05-09 08:00:00,W-51040689,78146.76
2022-05-09 08:00:00,W-51039155,21983.15
2022-05-09 08:00:00,W-51060006,152256.65
2022-05-09 08:00:00,W-51065427,171731.68
2022-05-09 08:00:00,W-51067371,198077.19
